what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1317725710943
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1317725711132
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317725715956
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deleteNextWord",1317725745159
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317725761108
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1317725763187
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1317725764527
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317725765705
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317725766448
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317725767233
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317725771979
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317725774305
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1317725777050
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317725778145
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317725785829
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317725801318
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317725815891
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317725826126
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317725827383
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317725834535
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1317725837914
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1317725846254
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1317725870781
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317725871250
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1317725888286
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317725947952
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317725948543
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1317725952229
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1317725961321
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1317725961825
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317725963051
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317725963833
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317725967976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317725971028
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317726043189
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1317726067804
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1317726067979
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1317726068123
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1317726068281
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1317726068452
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317726082211
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317726088424
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317726130388
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317726130707
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317726131331
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317726132249
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317726140523
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317726152591
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317726162737
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317726167026
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317726168973
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317726169883
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317726170267
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317726172685
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1317726174847
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317726175460
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317726175917
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317726176348
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317726181826
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317726187771
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317726188919
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317726199776
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317726208410
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317726212003
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317726214547
